catalogue,pdf_page,printed_page_estimate,priority,inspection_pattern,why_inspect,expected_extractor_behaviour,gw_code_hits,product_labels,dimensions_blocks,code_headers,text_snippet
ROBUS 2026,5,3,Medium,Product contents page,"Page numbers, product family names and images form a matrix but are not SKU specification rows.",Exclude contents navigation from product-table extraction or mark as non-product index.,0,1,0,0,ROBUS.COM 3 PRODUCT CONTENTS 40 VEGAS LED 46 VEGAS PRO LED 54 VEGAS AMBIENT LED 58 VEGAS ULTRA LED 62 VEGAS ZED LED
ROBUS 2026,80,78,Critical,Borderless dimensions matrix,Height/Depth and Width can be merged by layout extraction; SKU is the left index.,Use word x-position repair to recover four columns and create one row per SKU.,0,0,1,0,T +353 1 709 9000   F +353 1 709 9060 78 2YRS ON-SITE WARRANTY 5 YRS WARRANTY 50000 HRS RATED HOURS 104-106 LmW LUMENS
ROBUS 2026,149,147,High,Multiple product and dimensions blocks,Several PRODUCT and DIMENSIONS blocks occur on one page.,Segment independent tables and associate each product code only with its own matrix.,0,4,4,0,"ROBUS.COM 147 RECESSED, 9.6MM DEEP, 16MM INNER WIDTH •	 Low profile recessed extrusion with push on PC diffuser •	 Wide enough to fit all Vegas and Macau strip (including VEGAS RGBW IP67) and new IP20 connectors •	 Anodised aluminium •	 Supplied in 2m lengths complete with end caps PRODUCT REXR092-23 Carton Qty: 30 DIMENSIONS (mm) Length"
ROBUS 2026,161,159,Critical,Option codes plus product matrix,"CODE (Options) contains E, STE, SEN and similar option abbreviations that are not standalone SKUs.",Prevent option abbreviations from becoming unexpected SKUs; keep options as attributes.,0,1,0,1,"ROBUS.COM 159 COMMERCIAL ATMOS LED PANEL CODE (Options) DESCRIPTION E Emergency STE Self Test Emergency SEN MW Sensor DD,AD,SWD DALI, 1-10V, Switch Dim 3SD"
ROBUS 2026,165,163,Critical,SKUs as column headings,"PRODUCT codes are across columns while technical properties run down rows, often with pipe-separated values.",Transpose into one product occurrence per SKU and preserve multi-setting values.,0,2,0,1,"ROBUS.COM 163 COMMERCIAL DALLAS EXPRESS Standard, Neutral White Standard, Cool White PRODUCT RDLX4060-01 RDLX5060-01 Total Power (W): 19.5 | 27.3 | 31.6 19.5 | 27.4 | 31.6 Total Light Output (lm): 2730 | 3800 | 4320 2690 | 3760 | 4250"
ROBUS 2026,178,176,High,Main table plus emergency subtable,"Dimensions, product comparison and emergency-output table coexist.",Keep separate table blocks and link emergency data to the correct emergency SKU.,0,0,1,0,T +353 1 709 9000   F +353 1 709 9060 176 2YRS ON-SITE WARRANTY 5 YRS WARRANTY 50000 HRS RATED HOURS 140 LmW LUMENS
ROBUS 2026,254,252,High,Modular product with emergency variants,"Main product matrix, dimensions and emergency table appear together.","Test code-as-column orientation, accessory/variant separation and conflicts.",0,0,1,0,"T +353 1 709 9000   F +353 1 709 9060 252 SURFACE FITTINGS GOLF EXPRESS MODULAR LED FEATURES & BENEFITS: •	 GOLF EXPRESS MODULAR is our most flexible and versatile surface fitting design to date •	 Allows selection between three wattages and three colour temperatures, while available plug and play sensors (on/off and 3 step dimming) and emergency pack allowing change of functionality of any"
ROBUS 2026,448,446,Critical,Many products on one page,Six PRODUCT labels and multiple dimensions blocks are present.,"Stress-test segmentation, code-column transposition and duplicate/shared attributes.",0,6,3,0,T +353 1 709 9000   F +353 1 709 9060 446 IP67 CONSTANT VOLTAGE NON-DIMMABLE DRIVERS: PRODUCT 60W 100W 12V Non-Dimmable Drivers RVA601267N-PSU RVA1001267N-PSU Weight (kg): 0.4 0.64 Carton Qty: 100 20
ROBUS 2026,480,478,High,Emergency product page with multiple tables,Multiple code headers and product/emergency structures occur together.,Check table classification and ensure option codes are not treated as SKUs.,0,1,1,2,"T +353 1 709 9000   F +353 1 709 9060 478 EMERGENCY DESMOND LED FEATURES & BENEFITS: •	 Two versions designed to use in particular sections of escape routes: •	 RDD1P5LO-01 - Open Area (Anti Panic) and, •	 RDD1P5LC-01 - Corridor applications •	 Complete kit prewired with plug & play connectors, comprising of LED downlight, control gear and battery pack •	 Green colour LED indicator built in the"
ROBUS 2026,507,505,High,Humanitas dimensions and product specifications,Dimensions table and PRODUCT specification matrix are adjacent to icons and explanatory content.,Recover both table types while excluding icon captions and prose.,0,1,1,0,"ROBUS.COM 505 ROBUS HUMANITAS GRANADA HUMANITAS 2YRS ON-SITE WARRANTY 5 YRS WARRANTY 50,000 HRS RATED HOURS"
ROBUS 2026,519,517,Medium,Simple controller baseline,A relatively simple one-product dimensions and PRODUCT block.,Use as a control page to verify the extractor does not over-segment.,0,0,0,0,"STEP 1 PROJECT PLAN SMALL PROJECTS LINX Cloud Server App (free) LARGE PROJECTS When this option is required we will liaise with your IT provider to agree network requirements and a server will be supplied at the delivery stage. Next we work with you to create a bespoke solution which will provide all the advantages of LINX that you choose to activate. Quotation only For large scale projects, syste"
